Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,names,Symbol
2020-04-30,8797.669921875,9440.650390625,8533.255859375,8658.5537109375,66964629541,0,0,Bitcoin,BTC
2020-05-01,8672.7822265625,9048.0234375,8667.763671875,8864.7666015625,44068389997,0,0,Bitcoin,BTC
2020-05-02,8869.0576171875,9007.1875,8811.3662109375,8988.5966796875,40134388683,0,0,Bitcoin,BTC
2020-05-03,8983.6142578125,9167.78125,8830.9716796875,8897.46875,47101785174,0,0,Bitcoin,BTC
2020-05-04,8895.7451171875,8956.90625,8645.0244140625,8912.654296875,45718796276,0,0,Bitcoin,BTC
2020-05-05,8912.83203125,9062.4150390625,8856.8271484375,9003.0703125,43148462663,0,0,Bitcoin,BTC
2020-05-06,9007.44140625,9411.4677734375,8966.7060546875,9268.76171875,49371886931,0,0,Bitcoin,BTC
2020-05-07,9261.8955078125,9992.6640625,9138.322265625,9951.5185546875,61112700562,0,0,Bitcoin,BTC
2020-05-08,9936.162109375,9996.7431640625,9767.1728515625,9842.666015625,51780748042,0,0,Bitcoin,BTC
2020-05-09,9840.90625,9913.86328125,9580.64453125,9593.896484375,46566121841,0,0,Bitcoin,BTC
2020-05-10,9591.1689453125,9595.5810546875,8395.107421875,8756.4306640625,63325279337,0,0,Bitcoin,BTC
2020-05-11,8755.53515625,9033.470703125,8374.3232421875,8601.7958984375,57119858802,0,0,Bitcoin,BTC
2020-05-12,8610.3857421875,8949.8984375,8569.6435546875,8804.4775390625,42142717533,0,0,Bitcoin,BTC
2020-05-13,8805.3876953125,9317.87890625,8805.3876953125,9269.9873046875,45558144023,0,0,Bitcoin,BTC
2020-05-14,9271.3291015625,9793.2685546875,9255.03515625,9733.7216796875,56426907637,0,0,Bitcoin,BTC
2020-05-15,9734.291015625,9755.828125,9261.3984375,9328.197265625,48158802327,0,0,Bitcoin,BTC
2020-05-16,9333.240234375,9564.205078125,9260.6943359375,9377.013671875,36164766408,0,0,Bitcoin,BTC
2020-05-17,9374.9296875,9823.001953125,9349.5458984375,9670.7392578125,40084250663,0,0,Bitcoin,BTC
2020-05-18,9675.6953125,9906.0302734375,9570.359375,9726.5751953125,41827139896,0,0,Bitcoin,BTC
2020-05-19,9727.0634765625,9836.0478515625,9539.6240234375,9729.0380859375,39254288955,0,0,Bitcoin,BTC
2020-05-20,9725.3291015625,9804.7939453125,9447.201171875,9522.9814453125,36546239703,0,0,Bitcoin,BTC
2020-05-21,9522.740234375,9555.2421875,8869.9306640625,9081.76171875,39326160532,0,0,Bitcoin,BTC
2020-05-22,9080.3349609375,9232.9365234375,9008.638671875,9182.5771484375,29810773699,0,0,Bitcoin,BTC
2020-05-23,9185.0625,9302.501953125,9118.1083984375,9209.287109375,27727866812,0,0,Bitcoin,BTC
2020-05-24,9212.283203125,9288.404296875,8787.2509765625,8790.3681640625,32518803300,0,0,Bitcoin,BTC
2020-05-25,8786.107421875,8951.005859375,8719.66796875,8906.9345703125,31288157264,0,0,Bitcoin,BTC
2020-05-26,8909.5859375,8991.9677734375,8757.2939453125,8835.052734375,29584186947,0,0,Bitcoin,BTC
2020-05-27,8837.380859375,9203.3203125,8834.1572265625,9181.017578125,32740536902,0,0,Bitcoin,BTC
2020-05-28,9184.9453125,9546.3193359375,9148.45703125,9525.7509765625,34367073114,0,0,Bitcoin,BTC
2020-05-29,9528.35546875,9573.6669921875,9379.3388671875,9439.1240234375,32896642044,0,0,Bitcoin,BTC
2020-05-30,9438.9140625,9704.0302734375,9366.7294921875,9700.4140625,32722975141,0,0,Bitcoin,BTC
2020-05-31,9700.10546875,9700.34375,9432.296875,9461.05859375,27773290299,0,0,Bitcoin,BTC
2020-06-01,9463.60546875,10199.5654296875,9450.8994140625,10167.2685546875,35198901068,0,0,Bitcoin,BTC
2020-06-02,10162.9736328125,10182.3408203125,9460.5712890625,9529.8037109375,39137252109,0,0,Bitcoin,BTC
2020-06-03,9533.7607421875,9682.859375,9471.8466796875,9656.7177734375,25007459262,0,0,Bitcoin,BTC
2020-06-04,9655.8544921875,9887.6103515625,9525.2470703125,9800.63671875,25921805072,0,0,Bitcoin,BTC
2020-06-05,9800.2158203125,9869.2373046875,9663.216796875,9665.533203125,23509628646,0,0,Bitcoin,BTC
2020-06-06,9664.904296875,9773.431640625,9591.0244140625,9653.6796875,20438419222,0,0,Bitcoin,BTC
2020-06-07,9653.0029296875,9768.498046875,9458.150390625,9758.8525390625,25015250846,0,0,Bitcoin,BTC
2020-06-08,9760.0634765625,9782.306640625,9675.8857421875,9771.4892578125,21486346312,0,0,Bitcoin,BTC
2020-06-09,9774.3603515625,9836.369140625,9664.7197265625,9795.7001953125,23717842783,0,0,Bitcoin,BTC
2020-06-10,9794.119140625,9908.896484375,9728.291015625,9870.0947265625,25706567601,0,0,Bitcoin,BTC
2020-06-11,9870.078125,9938.2978515625,9263.0693359375,9321.78125,30247143440,0,0,Bitcoin,BTC
2020-06-12,9320.6904296875,9540.4658203125,9285.8515625,9480.84375,22610564515,0,0,Bitcoin,BTC
2020-06-13,9480.7353515625,9493.2119140625,9396.009765625,9475.27734375,17564322315,0,0,Bitcoin,BTC
2020-06-14,9477.5537109375,9482.2705078125,9347.59375,9386.7880859375,18991732746,0,0,Bitcoin,BTC
2020-06-15,9386.03515625,9504.8603515625,8990.17578125,9450.7021484375,26699704768,0,0,Bitcoin,BTC
2020-06-16,9454.2666015625,9579.4306640625,9400.4453125,9538.0244140625,21565537209,0,0,Bitcoin,BTC
2020-06-17,9533.7841796875,9540.4228515625,9327.33984375,9480.2548828125,20177709879,0,0,Bitcoin,BTC
2020-06-18,9481.5673828125,9482.7822265625,9328.3955078125,9411.8408203125,17770083003,0,0,Bitcoin,BTC
2020-06-19,9410.2939453125,9440.8759765625,9274.2958984375,9288.0185546875,19632223107,0,0,Bitcoin,BTC
2020-06-20,9290.9599609375,9394.9716796875,9247.3798828125,9332.3408203125,17130541557,0,0,Bitcoin,BTC
2020-06-21,9330.9267578125,9401.107421875,9300.4306640625,9303.6298828125,15324301169,0,0,Bitcoin,BTC
2020-06-22,9300.9150390625,9655.0732421875,9296.8720703125,9648.7177734375,21104009514,0,0,Bitcoin,BTC
2020-06-23,9644.076171875,9670.541015625,9547.2470703125,9629.658203125,17006433272,0,0,Bitcoin,BTC
2020-06-24,9632.1494140625,9680.3671875,9278.2333984375,9313.6103515625,18961716076,0,0,Bitcoin,BTC
2020-06-25,9314.126953125,9340.1611328125,9095.32421875,9264.8134765625,18616048626,0,0,Bitcoin,BTC
2020-06-26,9260.9951171875,9310.5166015625,9101.73828125,9162.91796875,18341465837,0,0,Bitcoin,BTC
2020-06-27,9167.82421875,9207.810546875,8998.216796875,9045.390625,17273093144,0,0,Bitcoin,BTC
2020-06-28,9048.4609375,9197.546875,8975.525390625,9143.58203125,14560870760,0,0,Bitcoin,BTC
2020-06-29,9140.029296875,9237.5732421875,9041.8759765625,9190.8544921875,16460547078,0,0,Bitcoin,BTC
2020-06-30,9185.5810546875,9217.8359375,9084.837890625,9137.9931640625,15735797744,0,0,Bitcoin,BTC
2020-07-01,9145.9853515625,9309.7548828125,9104.7353515625,9228.3251953125,15971550355,0,0,Bitcoin,BTC
2020-07-02,9231.1396484375,9274.962890625,9036.623046875,9123.41015625,16338916796,0,0,Bitcoin,BTC
2020-07-03,9124.8427734375,9202.3447265625,9058.794921875,9087.3037109375,13078970999,0,0,Bitcoin,BTC
2020-07-04,9084.2333984375,9183.2958984375,9053.6298828125,9132.48828125,12290528515,0,0,Bitcoin,BTC
2020-07-05,9126.0908203125,9162.18359375,8977.015625,9073.9423828125,12903406143,0,0,Bitcoin,BTC
2020-07-06,9072.849609375,9375.474609375,9058.6640625,9375.474609375,17889263252,0,0,Bitcoin,BTC
2020-07-07,9349.1611328125,9360.6171875,9201.8154296875,9252.27734375,13839652595,0,0,Bitcoin,BTC
2020-07-08,9253.0205078125,9450.3359375,9249.5,9428.3330078125,19702359883,0,0,Bitcoin,BTC
2020-07-09,9427.994140625,9431.37890625,9234.9990234375,9277.9677734375,18000702524,0,0,Bitcoin,BTC
2020-07-10,9273.357421875,9287.4716796875,9118.001953125,9278.8076171875,16860035605,0,0,Bitcoin,BTC
2020-07-11,9277.51171875,9293.5322265625,9199.4853515625,9240.3466796875,13249910444,0,0,Bitcoin,BTC
